	68_BH1	106_BH1	166_BH1	186_BH1	259_BH1	86_BH1	23_BH1	56_BH1	295_BH1	305_BH1	50_BH6	162_BH6	198_BH6	100_BH6	285_BH6	345_BH6	535_BH6	564_BH6	655_BH6	695_BH6	711_BH6
d19addc64d275b5063ed36656ffd89bc	0	0	0	0	0	0	0	0.000235122616444476	0	0	0	0	0	0	0	0	0	0	0	0	0
7d7124b609fffbba2e531d8d2764d46f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42049489118356E-05
42ee7dfd97e13b9219b0739deb1ed6d1	0	0	0	0	0	0	0	0	0	0	0	0.000284656988329063	0	0	0	0	0	0	0	0	0
4c1e1329950613df2079ff52d815590b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000357412334696795	0	0.000590946696607966	0.000684406482698204	0.00086727918258937
206e1c33da40dfdfaf2f1d4d91fd4e5b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
764b4b71f996c7bf92a88b72c561b134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7d85e93b98e89614b09243f7c5e88439	0	0	0	0	0	0	0	4.70245232888952E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
46b5ffa8ac0cd64106d7ecff522d1ffb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c0ccbbcec533b64b5825d12c956993a7	0	0	8.35980605249958E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03f457b0a188d0f5c6bdb9ae9419b6a9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46c8c7f27e45c60ca0221ab15fafd5d6	0	0	0	0	0	0	0	0	0	0	0	0	0	6.61747675611289E-05	0	0	0	0	0	0	0
5f3be3320713d4e6d1c57121c1415ddc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
948ac5f1da01af53fae4b2f6940a7522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000704664335853863
